,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,Turnover,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,%Deliverable,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2299.0,3909286.837755546,4528964.02956032,19218.0,1778638.5,2841354.0,4507663.5,97717880.0,2299.0,140318375380600.27,302872230567081.3,242000000000.0,46950000000000.0,87200000000000.0,141000000000000.0,8160000000000000.0,2299.0,0.4382519356241844,0.16127551020221972,0.067,0.32495,0.4379,0.54725,0.9088,2297.0,0.022812502977676126,0.008136769511527711,0.006368089854181512,0.017495834554076172,0.021714223944747202,0.026066870926073772,0.06587355082016737
AXISBANK,2456.0,8749907.055374593,10334122.442889307,72080.0,2571784.75,5857855.5,10081806.0,120541914.0,2456.0,517379682410423.44,494919924373853.5,10600000000000.0,227000000000000.0,354000000000000.0,604250000000000.0,7180000000000000.0,2456.0,0.4173062296416939,0.13123905632146735,0.075,0.32025,0.41425,0.5112,0.8632,2454.0,0.022480732000484453,0.017445893268327375,0.00824354969858662,0.01526562430459775,0.018615009005664283,0.02492426437462992,0.17621837316976974
BAJAJFINSV,2456.0,227126.56188925082,354265.25143061863,3472.0,47279.75,112346.0,245947.0,4110412.0,2456.0,120788395839983.72,242079552174941.06,147254000000.0,4547647500000.0,26512800000000.0,123452000000000.0,3394380000000000.0,2456.0,0.446228664495114,0.20856109868997544,0.0637,0.270275,0.43485,0.6034250000000001,0.9804,2454.0,0.020265279368534114,0.008287858836311252,0.004301408839493451,0.015206684445398277,0.01862625912794718,0.02348049546484876,0.07746871611736895
BAJFINANCE,2456.0,1281947.3013029315,2612144.689915845,103.0,24333.5,129376.0,1328669.0,25960105.0,2456.0,380692377329934.9,793338365511897.5,8871925000.0,4194972500000.0,58460950000000.0,334759750000000.0,8787970000000000.0,2456.0,0.5045034609120521,0.23947119493989213,0.0575,0.295725,0.5062,0.7015,0.99,2454.0,0.023012215277186592,0.018857798033182792,0.00763327094309559,0.015666205269597805,0.01941928035410521,0.024389813100306527,0.19801811753656848
BHARTIARTL,2456.0,7499628.228420195,9972895.001854077,71097.0,3092083.25,4727302.5,8095688.25,194887984.0,2456.0,315034181596091.2,516513507824998.06,2190000000000.0,106000000000000.0,163000000000000.0,301250000000000.0,1.09e+16,2456.0,0.5204004885993485,0.1441996889350559,0.0719,0.419475,0.53435,0.6274,0.9263,2454.0,0.019946290333843413,0.006259027227095398,0.004029509785009178,0.0160816778682119,0.018757928587699604,0.022399739122649864,0.05901710727064111
BPCL,2456.0,3677708.0476384363,6117985.43015691,9549.0,975865.25,1933773.5,4530064.75,199790953.0,2456.0,168903035830618.9,260753273934500.1,636000000000.0,51500000000000.0,118000000000000.0,206000000000000.0,8810000000000000.0,2456.0,0.4319222312703583,0.13827143900925998,0.084,0.333,0.43720000000000003,0.532125,0.8423,2454.0,0.02331206818054715,0.015272930212900665,0.004020093582328428,0.016312454523174504,0.01958470789889462,0.024204015290368315,0.11440300245046192
BRITANNIA,2456.0,248290.89780130293,348883.1964744392,325.0,73284.5,144562.0,286934.25,5383773.0,2456.0,75055247457245.53,122488953037057.47,14427625000.0,7447500000000.0,41350000000000.0,91300000000000.0,1950000000000000.0,2456.0,0.5838306596091206,0.16491913691104276,0.0601,0.46715,0.57945,0.70105,0.9842,2454.0,0.01618291459455561,0.010942528212244732,0.003480036938689213,0.011296496810747037,0.013816986263032648,0.01768952691292117,0.10984624303605778
CIPLA,2456.0,2427950.2626221497,3010674.1815350535,18949.0,1033538.25,1533521.5,2513994.5,56895564.0,2456.0,141424392915309.44,220218018813929.75,589000000000.0,47500000000000.0,77300000000000.0,137250000000000.0,4500000000000000.0,2456.0,0.47028416123778494,0.16241045461853135,0.0693,0.346575,0.4821,0.5914,0.9061,2454.0,0.015868689510465453,0.005563737157292817,0.0031249208597481297,0.012454010067347558,0.015024223730665113,0.018269005421719137,0.05475074828913179
