Symbol,Best_Model,Best_RMSE
ADANIPORTS,Regression,0.001495376
AXISBANK,Regression,0.00132196
BAJAJFINSV,Regression,0.002102898
BAJFINANCE,Regression,0.001580513
BHARTIARTL,Regression,0.001054707
BPCL,Regression,0.001348469
BRITANNIA,Regression,0.001143804
CIPLA,Regression,0.001170156
COALINDIA,Regression,0.001236006
DRREDDY,Regression,0.001020333
EICHERMOT,ARIMA,0.0038536
GAIL,Regression,0.001688386
GRASIM,Regression,0.001367933
HCLTECH,Regression,0.001358848
HDFC,Regression,0.00130737
HDFCBANK,Regression,0.001158916
HINDUNILVR,Regression,0.00076022
ICICIBANK,Regression,0.002035555
INFY,Regression,0.001769402
ITC,Regression,0.001357145
JSWSTEEL,Regression,0.001430278
KOTAKBANK,Regression,0.001376531
LT,Regression,0.001544581
MARUTI,Regression,0.001393086
NESTLEIND,Regression,0.000760834
POWERGRID,Regression,0.001081704
SBIN,Regression,0.001871344
SHREECEM,Regression,0.001353703
TATAMOTORS,Regression,0.002689693
TCS,Regression,0.001037853
TECHM,Regression,0.001145518
VEDL,Regression,0.003150782
WIPRO,Regression,0.001792268
ZEEL,Regression,0.002413114
